input,2050_KM,2050_KGG_midden,2050_KGG_hoog,2050_GP_basis,2050_GP_midden,2050_GP_hoog,2030_KM,2030_KGG_midden,2030_KGG_hoog,2030_GP_basis,2030_GP_midden,2030_GP_hoog,2035_KM,2035_KGG_midden,2035_KGG_hoog,2035_GP_basis,2035_GP_midden,2035_GP_hoog,2040_KM,2040_KGG_midden,2040_KGG_hoog,2040_GP_basis,2040_GP_midden,2040_GP_hoog
bunkers_allocated_percentage_shipping,,,,,,,,,,,,,,,,,,,,,,63,63,63
bunkers_aviation_using_electricity_share,,2,2,,2,2,,0.71,0.71,,1.05,1.05,,1.03,1.03,,1.52,1.52,,1.35,1.35,2,2,2
bunkers_aviation_using_hydrogen_share,,10,0,,20,20,,3.55,0,,10.48,10.48,,5.16,0,,15.24,15.24,,6.77,0,20,20,20
bunkers_aviation_using_kerosene_mix_share,,88,98,,78,78,,95.74,99.29,,88.47,88.47,,93.81,98.97,,83.24,83.24,,91.87,98.65,78,78,78
bunkers_plane_using_bio_kerosene_share,,,,,,,,,,,,,,,,,,,,,,70,70,70
bunkers_plane_using_kerosene_share,,,,,,,,,,,,,,,,,,,,,,30,30,30
bunkers_ship_using_ammonia_share,,,,,,,,,,,,,,,,,,,,,,34.2,34.2,34.2
bunkers_ship_using_electricity_share,,,,,,,,,,,,,,,,,,,,,,1.75,1.75,1.75
bunkers_ship_using_heavy_fuel_oil_share,,,,,,,,,,,,,,,,,,,,,,29.85,29.85,29.85
bunkers_ship_using_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,9.8,9.8,9.8
bunkers_ship_using_lng_share,,,,,,,,,,,,,,,,,,,,,,24.4,24.4,24.4
bunkers_useful_demand_planes,,,,,-8.495096663,-8.495096663,,,,,-8.495096663,-8.495096663,,,,,-8.495096663,-8.495096663,,,,,-8.495096663,-8.495096663
bunkers_useful_demand_ships,,,,,-3.246822148,-3.246822148,,,,,-3.246822148,-3.246822148,,,,,-3.246822148,-3.246822148,,,,,-3.246822148,-3.246822148
capacity_costs_energy_flexibility_flow_batteries_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_agriculture_chp_engine_biogas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_agriculture_chp_engine_network_gas_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_agriculture_chp_engine_network_gas_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_agriculture_chp_wood_pellets,,,,,,,,,,,,,,,,,,,,,,300,300,300
capacity_of_agriculture_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,184,184,184
capacity_of_buildings_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,43886,43886,43886
capacity_of_energy_battery_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,15279,15279,15279
capacity_of_energy_battery_wind_turbine_inland,,,,,,,,,,,,,,,,,,,,,,2721,2721,2721
capacity_of_energy_chp_combined_cycle_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_chp_local_engine_biogas,,500,1000,,,,,206.83,384.25,,,,,280.12,538.19,,,,,353.41,692.12,0,0,0
capacity_of_energy_chp_local_engine_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_chp_local_wood_pellets_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_chp_local_wood_pellets_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_chp_supercritical_waste_mix,,,,,,,,,,,,,,,,,,,,,,894.6490091,894.6490091,894.6490091
capacity_of_energy_chp_ultra_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_flexibility_flow_batteries_electricity,,6000,1800,,60,0,,2129.03,638.71,,21.29,0,,3096.77,929.03,,30.97,0,,4064.52,1219.35,6000,40.65,0
capacity_of_energy_flexibility_hv_opac_electricity,,,,,,,,,,,,,,,,,,,,,,3200,3200,3200
capacity_of_energy_flexibility_mv_batteries_electricity,,10800,0,,0,0,,3832.26,0,,0,0,,5574.19,0,,0,0,,7316.13,0,27000,0,0
capacity_of_energy_heat_boiler_ht_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_boiler_lt_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_boiler_mt_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_ht_hydrogen,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_ht_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_ht_waste_mix,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_ht_wood_pellets,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_lt_hydrogen,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_mt_hydrogen,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_burner_mt_network_gas,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000
capacity_of_energy_heat_burner_mt_waste_mix,,,,,,,,,,,,,,,,,,,,,,400,400,400
capacity_of_energy_heat_burner_mt_wood_pellets,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000
capacity_of_energy_heat_flexibility_p2h_boiler_electricity,,800,800,,800,800,,283.87,283.87,,283.87,283.87,,412.9,412.9,,412.9,412.9,,541.94,541.94,800,541.94,541.94
capacity_of_energy_heat_flexibility_p2h_heatpump_electricity,,,,,,,,,,,,,,,,,,,,,,350,350,350
capacity_of_energy_heat_heatpump_drink_water_water_ts_lt_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_heatpump_drink_water_water_ts_mt_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_heatpump_surface_water_water_ts_lt_electricity,,,,,,,,,,,,,,,,,,,,,,40,40,40
capacity_of_energy_heat_heatpump_surface_water_water_ts_mt_electricity,,,,,,,,,,,,,,,,,,,,,,500,500,500
capacity_of_energy_heat_heatpump_waste_water_water_ts_lt_electricity,,,,,,,,,,,,,,,,,,,,,,20,20,20
capacity_of_energy_heat_heatpump_waste_water_water_ts_mt_electricity,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000
capacity_of_energy_heat_heatpump_water_water_ht_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_heatpump_water_water_lt_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_heatpump_water_water_mt_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_solar_ht_solar_thermal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_solar_lt_solar_thermal,,,,,,,,,,,,,,,,,,,,,,125,125,125
capacity_of_energy_heat_solar_mt_solar_thermal,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000
capacity_of_energy_heat_well_deep_ht_geothermal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_heat_well_deep_mt_geothermal,,,,,,,,,,,,,,,,,,,,,,2925,2925,2925
capacity_of_energy_heat_well_shallow_heatpump_mt_geothermal,,,,,,,,,,,,,,,,,,,,,,975,975,975
capacity_of_energy_heat_well_shallow_lt_geothermal,,,,,,,,,,,,,,,,,,,,,,15,15,15
capacity_of_energy_hydrogen_ammonia_reformer_dispatchable,,,,,,,,,,,,,,,,,,,,,,2875,2875,2875
capacity_of_energy_hydrogen_ammonia_reformer_must_run,,,,,,,,,,,,,,,,,,,,,,6707,6707,6707
capacity_of_energy_hydrogen_autothermal_reformer_dispatchable,,,,,,,,,,,,,,,,,,,,,,180,180,180
capacity_of_energy_hydrogen_autothermal_reformer_must_run,,,,9120,9120,9120,,,,4777.142857,4777.142857,4777.142857,,,,6948.571429,6948.571429,6948.571429,,,,9120,9120,9120
capacity_of_energy_hydrogen_biomass_gasification,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_hydrogen_flexibility_p2g_electricity,,,,10000,10000,10000,,0,0,5238.095238,5238.095238,5238.095238,,0,0,7619.047619,7619.047619,7619.047619,,0,0,10000,10000,10000
capacity_of_energy_hydrogen_liquid_hydrogen_regasifier,,,,,,,,,,,,,,,,,,,,,,6388,6388,6388
capacity_of_energy_hydrogen_lohc_reformer,,,,,,,,,,,,,,,,,,,,,,2981,2981,2981
capacity_of_energy_hydrogen_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,50,50,50
capacity_of_energy_hydrogen_steam_methane_reformer_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_hydrogen_steam_methane_reformer_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_hydrogen_storage_depleted_gas_field,,,,,,,,,,,,,,,,,,,,,,250,250,250
capacity_of_energy_hydrogen_storage_salt_cavern,,,,,,,,,,,,,,,,,,,,,,250,250,250
capacity_of_energy_hydrogen_wind_turbine_offshore,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_imported_ammonia_baseload,,,,,,,,,,,,,,,,,,,,,,15500,15500,15500
capacity_of_energy_imported_hydrogen_baseload,,,,,,,,,,,,,,,,,,,,,,3044,3044,3044
capacity_of_energy_power_combined_cycle_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_combined_cycle_hydrogen,,,,6886,6886,6886,,,,3606.952381,3606.952381,3606.952381,,,,5246.47619,5246.47619,5246.47619,,,,6886,6886,6886
capacity_of_energy_power_combined_cycle_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_engine_diesel,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_engine_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_geothermal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_hybrid_wind_turbine_offshore,,30700,30700,24413,24413,24413,,10893.55,10893.55,,,,,15845.16,15845.16,,,,,20796.77,20796.77,24413,24413,24413
capacity_of_energy_power_hydro_river,,,,,,,,,,,,,,,,,,,,,,38,38,38
capacity_of_energy_power_nuclear_gen2_uranium_oxide,,,,0,0,0,,,,244.0086214,244.0086214,244.0086214,,,,122.0043107,122.0043107,122.0043107,,,,0,0,0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0
capacity_of_energy_power_nuclear_small_modular_reactor_uranium_oxide,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_solar_pv_offshore,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,21199,21199,21199
capacity_of_energy_power_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_supercritical_waste_mix,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_turbine_hydrogen,,,,,,,,,,,,,,,,,,,,,,3047,3047,3047
capacity_of_energy_power_turbine_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_ultra_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,1580,1580,1580
capacity_of_energy_power_ultra_supercritical_cofiring_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_ultra_supercritical_crude_oil,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_ultra_supercritical_network_gas,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_wind_turbine_coastal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_wind_turbine_inland,,,,,,,,,,,,,,,,,,,,,,10279,10279,10279
capacity_of_energy_power_wind_turbine_offshore,,29336.04,26466.21,25587,25587,25587,,11026.98,10008.65,,,,,15604.24,14123.04,,,,,20181.51,18237.43,25587,25587,25587
capacity_of_energy_power_wood_pellets_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_power_wood_pellets_must_run,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_energy_production_synthetic_kerosene_dispatchable,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_households_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,36537,36537,36537
capacity_of_industry_chemical_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,30,30,30
capacity_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_chemicals_other_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_chemicals_refineries_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,,,,,,,,,,,,,,,,,,,,,,5292.716683,5292.716683,5292.716683
capacity_of_industry_chp_engine_gas_power_fuelmix,,,,,,,,,,,,,,,,,,,,,,39.74822882,39.74822882,39.74822882
capacity_of_industry_chp_turbine_gas_power_fuelmix,,,,,,,,,,,,,,,,,,,,,,791.1575766,791.1575766,791.1575766
capacity_of_industry_chp_turbine_hydrogen,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_chp_ultra_supercritical_coal,,,,,,,,,,,,,,,,,,,,,,0.768600708,0.768600708,0.768600708
capacity_of_industry_chp_wood_pellets,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_heat_burner_coal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_heat_burner_crude_oil,,,,,,,,,,,,,,,,,,,,,,1.53675,1.53675,1.53675
capacity_of_industry_heat_burner_hydrogen,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_heat_well_geothermal,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_metal_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,35,35,35
capacity_of_industry_other_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,25,25,25
capacity_of_industry_other_food_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
capacity_of_industry_other_ict_flexibility_load_shifting_electricity,,,,,,,,,,,,,,,,,,,,,,30,30,30
capacity_of_industry_other_paper_flexibility_p2h_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_energetic_emissions_other_ghg_agriculture,,,,,,,,,,,,,,,,,,,,,,4,4,4
change_in_energetic_emissions_other_ghg_buildings,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_energetic_emissions_other_ghg_energy,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_energetic_emissions_other_ghg_households,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_energetic_emissions_other_ghg_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_energetic_emissions_other_ghg_transport,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_indirect_emissions_co2,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_co2_agriculture_manure,,,,,,,,,,,,,,,,,,,,,,43,43,43
change_in_non_energetic_emissions_co2_agriculture_soil_cultivation,,,,,,,,,,,,,,,,,,,,,,50,50,50
change_in_non_energetic_emissions_co2_chemical_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_co2_other_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_co2_waste_management,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_other_ghg_agriculture_fermentation,,,,,,,,,,,,,,,,,,,,,,43,43,43
change_in_non_energetic_emissions_other_ghg_agriculture_manure,,,,,,,,,,,,,,,,,,,,,,43,43,43
change_in_non_energetic_emissions_other_ghg_agriculture_other,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_other_ghg_agriculture_soil_cultivation,,,,,,,,,,,,,,,,,,,,,,52,52,52
change_in_non_energetic_emissions_other_ghg_chemical_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_other_ghg_other_industry,,,,,,,,,,,,,,,,,,,,,,0,0,0
change_in_non_energetic_emissions_other_ghg_waste_management,,,,,,,,,,,,,,,,,,,,,,0,0,0
climate_relevant_co2_biomass_gas_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
climate_relevant_co2_biomass_gas_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
climate_relevant_co2_biomass_liquid_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
climate_relevant_co2_biomass_liquid_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
climate_relevant_co2_biomass_solid_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
climate_relevant_co2_biomass_solid_present,,,,,,,,,,,,,,,,,,,,,,0,0,0
co2_emissions_of_imported_ammonia_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
co2_emissions_of_imported_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
co2_emissions_of_imported_hydrogen_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
co2_emissions_of_imported_liquid_hydrogen_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
co2_emissions_of_imported_lohc_future,,,,,,,,,,,,,,,,,,,,,,0,0,0
co_firing_biocoal_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
co_firing_coal_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
connection_capacity_always_on_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,50,50,50
connection_capacity_always_on_wind_turbine_inland,,,,,,,,,,,,,,,,,,,,,,75,75,75
costs_bio_ethanol,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2
costs_biodiesel,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2
costs_biogas,,,,,,,,,,,,,,,,,,,,,,62.28,62.28,62.28
costs_buildings_ht_heat_delivery_system_costs_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,16706,16706,16706
costs_buildings_lt_heat_delivery_system_costs_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,25386,25386,25386
costs_buildings_mt_heat_delivery_system_costs_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,16706,16706,16706
costs_captured_biogenic_co2,,,,,,,,,,,,,,,,,,,,,,196.9648999,196.9648999,196.9648999
costs_co2,,,,,,,,,,,,,,,,,,,,,,196.9648999,196.9648999,196.9648999
costs_co2_free_allocation,,,,,,,,,,,,,,,,,,,,,,0,0,0
costs_coal,,,,,,,,,,,,,,,,,,,,,,71.84824343,71.84824343,71.84824343
costs_electricity_fallback_price,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000
costs_gas,,,,,,,,,,,,,,,,,,,,,,19.55820401,19.55820401,19.55820401
costs_greengas,,,,,,,,,,,,,,,,,,,,,,50,50,50
costs_heat_infra_indoors,,,,,,,,,,,,,,,,,,,,,,100,100,100
costs_heat_infra_outdoors,,,,,,,,,,,,,,,,,,,,,,100,100,100
costs_heat_network_storage_ht_steam_hot_water,,,,,,,,,,,,,,,,,,,,,,0,0,0
costs_heat_network_storage_lt_steam_hot_water,,,,,,,,,,,,,,,,,,,,,,43.2,43.2,43.2
costs_heat_network_storage_mt_steam_hot_water,,,,,,,,,,,,,,,,,,,,,,43.2,43.2,43.2
costs_households_ht_heat_delivery_system_costs_apartments_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,1174,1174,1174
costs_households_ht_heat_delivery_system_costs_ground_level_houses_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,2054,2054,2054
costs_households_lt_heat_delivery_system_costs_apartments_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,2382,2382,2382
costs_households_lt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,4144,4144,4144
costs_households_mt_heat_delivery_system_costs_apartments_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,1174,1174,1174
costs_households_mt_heat_delivery_system_costs_ground_level_houses_eur_per_connection,,,,,,,,,,,,,,,,,,,,,,2054,2054,2054
costs_hydrogen,,,,,,,,,,,,,,,,,,,,,,126,126,126
costs_hydrogen_storage_depleted_gas_field,,,,,,,,,,,,,,,,,,,,,,12,12,12
costs_hydrogen_storage_salt_cavern,,,,,,,,,,,,,,,,,,,,,,23,23,23
costs_hydrogen_transport_compressed_trucks,,,,,,,,,,,,,,,,,,,,,,53.36,53.36,53.36
costs_hydrogen_transport_pipelines,,,,,,,,,,,,,,,,,,,,,,4.8,4.8,4.8
costs_hydrogen_transport_pipelines_offshore,,,,,,,,,,,,,,,,,,,,,,3.675,3.675,3.675
costs_imported_ammonia,,,,,,,,,,,,,,,,,,,,,,132,132,132
costs_imported_heat,,,,,,,,,,,,,,,,,,,,,,1,1,1
costs_imported_liquid_hydrogen,,,,,,,,,,,,,,,,,,,,,,182,182,182
costs_imported_lohc,,,,,,,,,,,,,,,,,,,,,,127,127,127
costs_industry_residual_heat,,,,,,,,,,,,,,,,,,,,,,0,0,0
costs_infrastructure_electricity_hv_net,,,,,,,,,,,,,,,,,,,,,,364,364,364
costs_infrastructure_electricity_interconnector_net,,,,,,,,,,,,,,,,,,,,,,364,364,364
